time encoder potentiometer
2.51 -4032 118
2.52 -4064 116
2.53 -4096 120
2.54 -4128 125
2.55 -4160 118
2.56 -4192 119
2.57 -4224 116
2.58 -4256 122
2.59 -4288 118
2.6 -4320 116
2.61 -4352 123
2.62 -4384 121
2.63 -4416 122
2.64 -4448 120
2.65 -4480 119
2.66 -4512 120
2.67 -4544 118
2.68 -4576 121
2.69 -4608 118
2.7 -4640 122
2.71 -4672 120
2.72 -4704 122
2.73 -4736 114
2.74 -4768 121
2.75 -4800 117
2.76 -4832 117
2.77 -4864 113
2.78 -4896 116
2.79 -4928 114
2.8 -4960 116
2.81 -4992 116
2.82 -5024 113
2.83 -5056 119
2.84 -5088 115
2.85 -5120 117
2.86 -5152 119
2.87 -5184 112
2.88 -5216 113
2.89 -5248 120
2.9 -5280 119
2.91 -5312 120
2.92 -5344 117
2.93 -5376 112
2.94 -5408 116
2.95 -5440 119
2.96 -5472 117
2.97 -5504 112
2.98 -5536 117
2.99 -5568 111
3 -5600 115
3.01 -5664 110
3.02 -5728 109
3.03 -5792 115
3.04 -5856 114
3.05 -5920 110
3.06 -5984 112
3.07 -6048 109
3.08 -6112 114
3.09 -6176 113
3.1 -6240 113
3.11 -6304 111
3.12 -6368 115
3.13 -6432 115
3.14 -6496 111
3.15 -6560 113
3.16 -6624 108
3.17 -6688 106
3.18 -6752 111
3.19 -6816 107
3.2 -6880 110
3.21 -6944 110
3.22 -7008 110
3.23 -7072 104
3.24 -7136 112
3.25 -7200 110
3.26 -7264 110
3.27 -7328 108
3.28 -7392 111
3.29 -7456 104
3.3 -7520 111
3.31 -7584 109
3.32 -7648 107
3.33 -7712 108
3.34 -7776 110
3.35 -7840 104
3.36 -7904 102
3.37 -7968 109
3.38 -8032 109
3.39 -8096 107
3.4 -8160 107
3.41 -8224 103
3.42 -8288 99
3.43 -8352 102
3.44 -8416 105
3.45 -8480 101
3.46 -8544 100
3.47 -8608 102
3.48 -8672 105
3.49 -8736 102
3.5 -8800 103
3.51 -8864 101
3.52 -8928 96
3.53 -8992 103
3.54 -9056 97
3.55 -9120 103
3.56 -9184 100
3.57 -9248 103
3.58 -9312 95
3.59 -9376 98
3.6 -9440 103
3.61 -9504 102
3.62 -9568 96
3.63 -9632 99
3.64 -9696 101
3.65 -9760 94
3.66 -9824 100
3.67 -9888 99
3.68 -9952 93
3.69 -10016 96
3.7 -10080 100
3.71 -10144 101
3.72 -10208 98
3.73 -10272 94
3.74 -10336 99
3.75 -10400 97
3.76 -10464 98
3.77 -10528 94
3.78 -10592 91
3.79 -10656 95
3.8 -10720 91
3.81 -10784 90
3.82 -10848 90
3.83 -10912 89
3.84 -10976 92
3.85 -11040 89
3.86 -11104 96
3.87 -11168 96
3.88 -11232 88
3.89 -11296 92
3.9 -11360 86
3.91 -11424 89
3.92 -11488 94
3.93 -11552 95
3.94 -11616 92
3.95 -11680 92
3.96 -11744 86
3.97 -11808 88
3.98 -11872 85
3.99 -11936 84
4 -12000 90
4.01 -12008 91
4.02 -12016 86
4.03 -12024 90
4.04 -12032 91
4.05 -12040 92
4.06 -12048 92
4.07 -12056 92
4.08 -12064 86
4.09 -12072 84
4.1 -12080 90
4.11 -12088 89
4.12 -12096 86
4.13 -12104 86
4.14 -12112 91
4.15 -12120 87
4.16 -12128 90
4.17 -12136 86
4.18 -12144 83
4.19 -12152 83
4.2 -12160 89
4.21 -12168 91
4.22 -12176 86
4.23 -12184 83
4.24 -12192 91
4.25 -12200 91
4.26 -12208 91
4.27 -12216 91
4.28 -12224 89
4.29 -12232 84
4.3 -12240 84
4.31 -12248 87
4.32 -12256 90
4.33 -12264 85
4.34 -12272 91
4.35 -12280 82
4.36 -12288 82
4.37 -12296 83
4.38 -12304 91
4.39 -12312 87
4.4 -12320 90
4.41 -12328 82
4.42 -12336 82
4.43 -12344 83
4.44 -12352 85
4.45 -12360 90
4.46 -12368 89
4.47 -12376 86
4.48 -12384 87
4.49 -12392 84
4.5 -12400 88
4.51 -12408 83
4.52 -12416 84
4.53 -12424 81
4.54 -12432 86
4.55 -12440 85
4.56 -12448 83
4.57 -12456 84
4.58 -12464 82
4.59 -12472 88
4.6 -12480 88
4.61 -12488 83
4.62 -12496 86
4.63 -12504 85
4.64 -12512 87
4.65 -12520 88
4.66 -12528 88
4.67 -12536 86
4.68 -12544 84
4.69 -12552 89
4.7 -12560 85
4.71 -12568 85
4.72 -12576 89
4.73 -12584 87
4.74 -12592 83
4.75 -12600 84
4.76 -12608 81
4.77 -12616 81
4.78 -12624 81
4.79 -12632 85
4.8 -12640 82
4.81 -12648 87
4.82 -12656 84
4.83 -12664 88
4.84 -12672 86
4.85 -12680 87
4.86 -12688 80
4.87 -12696 90
4.88 -12704 82
4.89 -12712 80
4.9 -12720 87
4.91 -12728 87
4.92 -12736 84
4.93 -12744 80
4.94 -12752 85
4.95 -12760 84
4.96 -12768 82
4.97 -12776 85
4.98 -12784 81
4.99 -12792 83
5 -12800 84
5.01 -12792 80
5.02 -12784 87
5.03 -12776 83
5.04 -12768 87
5.05 -12760 90
5.06 -12752 80
5.07 -12744 87
5.08 -12736 85
5.09 -12728 89
5.1 -12720 85
5.11 -12712 82
5.12 -12704 80
5.13 -12696 89
5.14 -12688 82
5.15 -12680 88
5.16 -12672 84
5.17 -12664 86
5.18 -12656 81
5.19 -12648 82
5.2 -12640 89
5.21 -12632 81
5.22 -12624 83
5.23 -12616 81
5.24 -12608 85
5.25 -12600 89
5.26 -12592 87
5.27 -12584 89
5.28 -12576 81
5.29 -12568 90
5.3 -12560 85
5.31 -12552 88
5.32 -12544 89
5.33 -12536 84
5.34 -12528 89
5.35 -12520 91
5.36 -12512 87
5.37 -12504 85
5.38 -12496 84
5.39 -12488 88
5.4 -12480 87
5.41 -12472 88
5.42 -12464 86
5.43 -12456 85
5.44 -12448 87
5.45 -12440 85
5.46 -12432 90
5.47 -12424 90
5.48 -12416 89
5.49 -12408 83
5.5 -12400 86
5.51 -12392 87
5.52 -12384 85
5.53 -12376 84
5.54 -12368 83
5.55 -12360 83
5.56 -12352 82
5.57 -12344 88
5.58 -12336 88
5.59 -12328 89
5.6 -12320 88
5.61 -12312 90
5.62 -12304 88
5.63 -12296 88
5.64 -12288 91
5.65 -12280 88
5.66 -12272 91
5.67 -12264 88
5.68 -12256 86
5.69 -12248 87
5.7 -12240 91
5.71 -12232 83
5.72 -12224 88
5.73 -12216 91
5.74 -12208 89
5.75 -12200 91
5.76 -12192 88
5.77 -12184 85
5.78 -12176 87
5.79 -12168 87
5.8 -12160 83
5.81 -12152 90
5.82 -12144 84
5.83 -12136 87
5.84 -12128 87
5.85 -12120 86
5.86 -12112 84
5.87 -12104 85
5.88 -12096 87
5.89 -12088 88
5.9 -12080 91
5.91 -12072 92
5.92 -12064 86
5.93 -12056 92
5.94 -12048 88
5.95 -12040 84
5.96 -12032 89
5.97 -12024 91
5.98 -12016 91
5.99 -12008 85
6 -12000 84
6.01 -11968 90
6.02 -11936 88
6.03 -11904 90
6.04 -11872 85
6.05 -11840 94
6.06 -11808 87
6.07 -11776 86
6.08 -11744 93
6.09 -11712 90
6.1 -11680 88
6.11 -11648 86
6.12 -11616 93
6.13 -11584 86
6.14 -11552 91
6.15 -11520 92
6.16 -11488 89
6.17 -11456 92
6.18 -11424 88
6.19 -11392 95
6.2 -11360 88
6.21 -11328 88
6.22 -11296 92
6.23 -11264 94
6.24 -11232 92
6.25 -11200 95
6.26 -11168 91
6.27 -11136 93
6.28 -11104 91
6.29 -11072 90
6.3 -11040 94
6.31 -11008 90
6.32 -10976 90
6.33 -10944 89
6.34 -10912 91
6.35 -10880 92
6.36 -10848 92
6.37 -10816 89
6.38 -10784 93
6.39 -10752 96
6.4 -10720 91
6.41 -10688 93
6.42 -10656 97
6.43 -10624 93
6.44 -10592 89
6.45 -10560 96
6.46 -10528 90
6.47 -10496 93
6.48 -10464 97
6.49 -10432 92
6.5 -10400 94
6.51 -10368 95
6.52 -10336 99
6.53 -10304 91
6.54 -10272 97
6.55 -10240 93
6.56 -10208 98
6.57 -10176 93
6.58 -10144 93
6.59 -10112 91
6.6 -10080 93
6.61 -10048 94
6.62 -10016 93
6.63 -9984 100
6.64 -9952 97
6.65 -9920 98
6.66 -9888 94
6.67 -9856 99
6.68 -9824 100
6.69 -9792 93
6.7 -9760 94
6.71 -9728 98
6.72 -9696 102
6.73 -9664 103
6.74 -9632 98
6.75 -9600 93
6.76 -9568 100
6.77 -9536 98
6.78 -9504 99
6.79 -9472 98
6.8 -9440 100
6.81 -9408 99
6.82 -9376 96
6.83 -9344 104
6.84 -9312 95
6.85 -9280 100
6.86 -9248 103
6.87 -9216 100
6.88 -9184 96
6.89 -9152 101
6.9 -9120 103
6.91 -9088 100
6.92 -9056 96
6.93 -9024 100
6.94 -8992 101
6.95 -8960 102
6.96 -8928 103
6.97 -8896 99
6.98 -8864 106
6.99 -8832 100
7 -8800 99
7.01 -8736 99
7.02 -8672 106
7.03 -8608 107
7.04 -8544 102
7.05 -8480 100
7.06 -8416 102
7.07 -8352 103
7.08 -8288 101
7.09 -8224 106
7.1 -8160 104
7.11 -8096 103
7.12 -8032 106
7.13 -7968 105
7.14 -7904 102
7.15 -7840 106
7.16 -7776 109
7.17 -7712 102
7.18 -7648 103
7.19 -7584 105
7.2 -7520 106
7.21 -7456 104
7.22 -7392 110
7.23 -7328 103
7.24 -7264 104
7.25 -7200 104
7.26 -7136 109
7.27 -7072 110
7.28 -7008 111
7.29 -6944 112
7.3 -6880 111
7.31 -6816 110
7.32 -6752 112
7.33 -6688 114
7.34 -6624 112
7.35 -6560 106
7.36 -6496 111
7.37 -6432 114
7.38 -6368 112
7.39 -6304 113
7.4 -6240 116
7.41 -6176 110
7.42 -6112 108
7.43 -6048 113
7.44 -5984 116
7.45 -5920 110
7.46 -5856 110
7.47 -5792 115
7.48 -5728 113
7.49 -5664 117
7.5 -5600 115
7.51 -5536 114
7.52 -5472 119
7.53 -5408 114
7.54 -5344 118
7.55 -5280 118
7.56 -5216 114
7.57 -5152 116
7.58 -5088 116
7.59 -5024 114
7.6 -4960 122
7.61 -4896 117
7.62 -4832 121
7.63 -4768 116
7.64 -4704 121
7.65 -4640 123
7.66 -4576 115
7.67 -4512 117
7.68 -4448 119
7.69 -4384 119
7.7 -4320 119
7.71 -4256 117
7.72 -4192 119
7.73 -4128 120
7.74 -4064 120
7.75 -4000 121
7.76 -3936 121
7.77 -3872 121
7.78 -3808 118
7.79 -3744 119
7.8 -3680 123
7.81 -3616 120
7.82 -3552 127
7.83 -3488 120
7.84 -3424 122
7.85 -3360 119
7.86 -3296 126
7.87 -3232 124
7.88 -3168 126
7.89 -3104 128
7.9 -3040 127
7.91 -2976 125
7.92 -2912 129
7.93 -2848 128
7.94 -2784 125
7.95 -2720 125
7.96 -2656 128
7.97 -2592 127
7.98 -2528 127
7.99 -2464 130
8 -2400 125
8.01 -2272 126
8.02 -2144 127
8.03 -2016 133
8.04 -1888 133
8.05 -1760 127
8.06 -1632 131
8.07 -1504 129
8.08 -1376 137
8.09 -1248 134
8.1 -1120 129
8.11 -992 135
8.12 -864 139
8.13 -736 137
8.14 -608 132
8.15 -480 139
8.16 -352 133
8.17 -224 140
8.18 -96 135
8.19 32 142
8.2 160 142
8.21 288 138
8.22 416 140
8.23 544 138
8.24 672 140
8.25 800 141
8.26 928 140
8.27 1056 138
8.28 1184 145
8.29 1312 146
8.3 1440 142
8.31 1568 145
8.32 1696 140
8.33 1824 145
8.34 1952 145
8.35 2080 150
8.36 2208 146
8.37 2336 151
8.38 2464 151
8.39 2592 151
8.4 2720 154
8.41 2848 150
8.42 2976 148
8.43 3104 153
8.44 3232 156
8.45 3360 147
8.46 3488 149
8.47 3616 151
8.48 3744 156
8.49 3872 157
8.5 4000 153
8.51 4128 155
8.52 4256 160
8.53 4384 156
8.54 4512 160
8.55 4640 162
8.56 4768 156
8.57 4896 162
8.58 5024 161
8.59 5152 163
8.6 5280 165
8.61 5408 158
8.62 5536 165
8.63 5664 159
8.64 5792 164
8.65 5920 164
8.66 6048 160
8.67 6176 162
8.68 6304 166
8.69 6432 169
8.7 6560 163
8.71 6688 167
8.72 6816 165
8.73 6944 166
8.74 7072 163
8.75 7200 173
8.76 7328 169
8.77 7456 172
8.78 7584 167
8.79 7712 174
8.8 7840 170
8.81 7968 170
8.82 8096 168
8.83 8224 176
8.84 8352 170
8.85 8480 176
8.86 8608 174
8.87 8736 173
8.88 8864 172
8.89 8992 177
8.9 9120 173
8.91 9248 180
8.92 9376 181
8.93 9504 173
8.94 9632 182
8.95 9760 176
8.96 9888 175
8.97 10016 182
8.98 10144 176
8.99 10272 177
9 10400 180
9.01 10656 50
9.02 10912 49
9.03 11168 48
9.04 11424 47
9.05 11680 46
9.06 11936 45
9.07 12192 44
9.08 12448 43
9.09 12704 42
9.1 12960 41
9.11 13216 40
9.12 13472 39
9.13 13728 38
9.14 13984 37
9.15 14240 36
9.16 14496 35
9.17 14752 34
9.18 15008 33
9.19 15264 32
9.2 15520 31
9.21 15776 30
9.22 16032 29
9.23 16288 28
9.24 16544 27
9.25 16800 26
9.26 17056 25
9.27 17312 24
9.28 17568 23
9.29 17824 22
9.3 18080 21
9.31 18336 20
9.32 18592 19
9.33 18848 18
9.34 19104 17
9.35 19360 16
9.36 19616 15
9.37 19872 14
9.38 20128 13
9.39 20384 12
9.4 20640 11
9.41 20896 10
9.42 21152 9
9.43 21408 8
9.44 21664 7
9.45 21920 6
9.46 22176 5
9.47 22432 4
9.48 22688 3
9.49 22944 2
9.5 23200 1
9.51 23232 1
9.52 23264 2
9.53 23296 3
9.54 23328 4
9.55 23360 5
9.56 23392 6
9.57 23424 7
9.58 23456 8
9.59 23488 9
9.6 23520 10
9.61 23552 11
9.62 23584 12
9.63 23616 13
9.64 23648 14
9.65 23680 15
9.66 23712 16
9.67 23744 17
9.68 23776 18
9.69 23808 19
9.7 23840 20
9.71 23872 21
9.72 23904 22
9.73 23936 23
9.74 23968 24
9.75 24000 25
9.76 24032 26
9.77 24064 27
9.78 24096 28
9.79 24128 29
9.8 24160 30
9.81 24192 31
9.82 24224 32
9.83 24256 33
9.84 24288 34
9.85 24320 35
9.86 24352 36
9.87 24384 37
9.88 24416 38
9.89 24448 39
9.9 24480 40
9.91 24512 41
9.92 24544 42
9.93 24576 43
9.94 24608 44
9.95 24640 45
9.96 24672 46
9.97 24704 47
9.98 24736 48
9.99 24768 49
10 24800 50
